
Strict segmentation agreement, where agreement is modeled as two
annotators making the same judgment on a potential boundary.

Fleiss’s multi-π:

U-0017: 0.89
U-0005: 0.50
U-0184: 0.49
U-0023: 0.43
U-0186: 0.42
U-0020: 0.41
U-0185: 0.41
U-0019: 0.39
U-0178: 0.35
U-0183: 0.35
U-0012: 0.34
U-0011: 0.31
U-0014: 0.31
U-0181: 0.31
U-0008: 0.30
U-0193: 0.27
U-0007: 0.21
U-0180: 0.19
U-0098: 0.12

Overall: 0.39

