
Strict segmentation agreement, where agreement is modeled as two
annotators making the same judgment on a potential boundary.

Fleiss’s multi-π:

U-0017: 0.57
U-0178: 0.44
U-0193: 0.39
U-0011: 0.39
U-0012: 0.37
U-0184: 0.32
U-0185: 0.32
U-0186: 0.29
U-0005: 0.28
U-0023: 0.25
U-0020: 0.25
U-0008: 0.21
U-0180: 0.20
U-0019: 0.20
U-0181: 0.19
U-0183: 0.17
U-0007: 0.12
U-0014: 0.10
U-0098: 0.08

Overall: 0.31

